exp,size,features,queries,time,R2,MSE,RMSE,MAE,MAPE,n_queries
incremental - all,1192,919,231,66.69648732099995,0.3380951573205667,0.6619048426794325,0.8135753454225567,0.27606568286373934,0.9354659195269873,0.1
incremental - all,1192,919,338,70.98917424900003,0.4439467779995881,0.5560532220004113,0.7456897625691339,0.2529059814011147,0.5946369212833124,0.2
incremental - all,1192,919,445,72.00519757300003,0.5163884373913631,0.4836115626086361,0.6954218594555653,0.24540329284154597,0.6363244836679359,0.30000000000000004
incremental - all,1192,919,552,77.30633732399997,0.5887119916033892,0.4112880083966101,0.6413174006657001,0.23361203204243533,0.5886094240891102,0.4
incremental - all,1192,919,658,78.0700029169999,0.6519031035949603,0.34809689640503905,0.5899973698289163,0.21783397260015824,0.5394265737959292,0.5
