STPLUS - t - neg_median_absolute_error,STPLUS - t - r2,STPLUS - t - neg_root_mean_squared_error,STPLUS - e - neg_median_absolute_error,STPLUS - e - r2,STPLUS - e - neg_root_mean_squared_error,STPLUS - t & e - neg_median_absolute_error,STPLUS - t & e - r2,STPLUS - t & e - neg_root_mean_squared_error,COCOME - t - neg_median_absolute_error,COCOME - t - r2,COCOME - t - neg_root_mean_squared_error,COCOME - e - neg_median_absolute_error,COCOME - e - r2,COCOME - e - neg_root_mean_squared_error,COCOME - t & e - neg_median_absolute_error,COCOME - t & e - r2,COCOME - t & e - neg_root_mean_squared_error
-0.5920311679936489,-1.2577889307951122,-0.9887825498288394,-0.954297468633339,-20.43558373811354,-0.791581169611619,-0.47896893016732206,0.15189771298196966,-0.5773652840054259,-0.6626795802401748,-1.227831746927067e+29,-0.6661656620585739,-0.41575451080049636,-6.396721292178881e+31,-0.4324543777812297,-0.0004332659422910459,-8.287491149226334e+23,-0.04743052097740132
-0.8928526927937562,-0.6200611449001452,-1.3840046104915285,-0.060441945521628376,0.31696636935848405,-0.8925310750043256,-0.03888827172185794,0.28615883890607124,-0.9023796601609118,-0.6594871735413158,-0.42043950004197295,-1.505464098078031,-0.07857246468853812,0.2457236187995634,-1.10421779015266,-0.6594871735413158,-0.42043950004197295,-1.505464098078031
-0.13535223857590972,0.42242534693026595,-0.35934662470884127,-0.33462782301075333,-38.352629586357004,-0.836424660146331,-0.08787411730668913,0.3454849189850364,-0.36092564353162104,-0.00021088798921096996,0.558229041019144,-0.17911181443449123,-0.05811075237083284,-0.6970881908888749,-0.2083187736340646,-0.028679118818642643,0.5880428804105564,-0.17996180646122364
-0.08169333499082182,0.6105599767502838,-0.42200800464233307,-0.319314576956064,-0.1896870642459471,-0.7626990682398003,-0.07306295521248592,0.6387226500744947,-0.36036384453917497,-0.2130915984396738,0.3626842052080973,-0.8300270667708547,-0.22761093826460327,-8.94584844089822,-1.0753191774188047,-0.21019966498287584,0.2880097609932617,-0.8613568965142404
-0.1406519244720538,0.5000834292201649,-0.579554886087458,-0.3310266007237374,0.28359081231546274,-0.8007691987191661,-0.1256189190740184,0.5352194173498577,-0.5436540806331702,-0.44305565707916017,0.22994648299601939,-1.085788918818898,-0.4129578178928062,-1.3459333236460516,-1.3265624131139644,-0.3995023470634233,-0.06395881786081795,-1.222104331538249
-0.102071333436423,0.5890247069510758,-0.7256902367420301,-0.4298098168012544,0.32640507597898893,-0.9498042452001072,-0.10343612578474343,0.6056132851373576,-0.6721544952630476,-0.03906480281718175,-2.2874169321197946,-0.47376510494920493,-0.2031538153457406,-3051.653747551503,-0.7110971101797983,-0.03867067960523445,0.5828434266517789,-0.2039567850054706
,,,,,,,,,-0.5186020059444921,-5.1633723342709095,-0.758716392085663,-0.028525100344253807,-16.58050013550787,-0.8710545486647636,-0.00010264716586552355,-10.080564228537229,-0.2685907185811909
,,,,,,,,,-0.556383320590257,-0.8931012366575195,-1.221442820034086,-0.7554113667590743,-1.3202027299884052,-1.773792866569972,-0.32167002111552984,-0.5544111884959178,-1.1791115366768303
,,,,,,,,,-0.32049236292784494,0.5107205738992078,-0.5005758511320881,-0.282815687718509,0.5225766511672745,-0.4702762733403078,-0.282815687718509,0.5255994059594802,-0.46894579096832245
,,,,,,,,,-0.3106918640954689,0.4842900756455035,-0.5649197040228016,-0.27800844443984474,0.47789603711730355,-0.5532847495051768,-0.27800844443984474,0.47789603711730355,-0.5532847495051768
,,,,,,,,,-1.1181339462260589,-51.89332785874699,-0.9347016053343258,-1.1245709293494806,-51.39384788843769,-0.9261658940720308,-1.1238183309237118,-52.32136308812648,-0.9391409117443141
,,,,,,,,,-1.1184650144981647,-0.43002476846997645,-0.9524916572550363,-1.074980130649587,-0.9422462683707098,-1.0366973697790396,-1.1233854445139373,-0.44301446062124417,-0.9571718901123356
,,,,,,,,,-0.38363802643796807,-0.43765822938912724,-1.0456327479314607,-0.3836439869024456,-1.4807035652066047,-1.473318148513354,-0.3836474514224232,-0.5254083197258498,-1.095049128350578
