exp,size,features,R2,MSE,RMSE,MAE,MAPE,time
naive - test set,596,919,0.5624479238730989,0.4375520761268997,0.6614771924464967,0.2092954055057866,2.0491056437052904,9.10194097900012
naive - whole set,1192,919,0.6558106708240354,0.34418932917596456,0.5866765115256998,0.15947517868371863,48.199235535416896,9.10194097900012
