exp,size,features,queries,time,R2,MSE,RMSE,MAE,MAPE,n_queries
incremental - all,454,734,72,3.7381884019999916,0.4200268572056531,0.5799731427943471,0.7615596777629099,0.3242679793379474,0.7995805248153527,0.1
incremental - all,454,734,115,4.355681840000045,0.6384202546965008,0.36157974530349934,0.6013150133694479,0.2192276941705143,0.6248196649766484,0.2
incremental - all,454,734,157,4.927841681000018,0.8397244476501262,0.16027555234987378,0.4003442922658868,0.14005216985218386,0.41020254646180687,0.30000000000000004
incremental - all,454,734,200,4.537649095000006,0.871056796631435,0.128943203368565,0.3590866237672534,0.1166166004398258,0.36295116418579887,0.4
incremental - all,454,734,242,4.654521721000037,0.879360995542082,0.12063900445791792,0.34733126040988294,0.11071559671290152,0.3365325412113634,0.5
