exp,size,features,R2,MSE,RMSE,MAE,MAPE,time
naive - test set,227,734,0.8706129444194226,0.12938705558057745,0.3597041222735395,0.15971703889193223,1.21660671415595,8.234220677999929
naive - whole set,454,734,0.9515006166779303,0.04849938332206975,0.22022575535588418,0.08533066316382415,0.6923146896533935,8.234220677999929
